                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                  1.287,                 1.0775,                 1.8271,                0.86114,                0.80149,                0.84328,                0.55191,                 1.1211,                0.98803,                 1.6532,               0.003763,               0.003763,               0.003763
                     65,                 1.1998,                 1.0274,                 1.7177,                0.87869,                0.77124,                0.84758,                0.56556,                 1.1118,                0.99825,                 1.6476,               0.003664,               0.003664,               0.003664
                     66,                 1.2408,                 1.0926,                 1.7701,                0.83748,                0.79216,                0.83314,                0.56103,                 1.1048,                0.98246,                 1.6122,               0.003565,               0.003565,               0.003565
                     67,                 1.1779,                0.98771,                 1.7238,                0.87803,                 0.7993,                0.84899,                0.55896,                 1.0908,                 0.9557,                 1.6007,               0.003466,               0.003466,               0.003466
                     68,                 1.2262,                 1.0976,                 1.7433,                0.84389,                0.78695,                0.84559,                0.57238,                 1.0608,                0.91801,                 1.5845,               0.003367,               0.003367,               0.003367
                     69,                 1.1801,                 1.0368,                  1.744,                0.81232,                0.80337,                0.83728,                0.55772,                 1.1211,                0.93626,                 1.6239,               0.003268,               0.003268,               0.003268
                     70,                 1.1835,                 1.0865,                 1.7216,                0.79054,                0.79358,                0.83451,                0.55914,                  1.063,                0.91533,                 1.5805,               0.003169,               0.003169,               0.003169
                     71,                 1.1761,                 1.0016,                 1.7203,                0.84528,                0.77288,                0.84793,                0.56524,                 1.0588,                0.90518,                 1.5812,                0.00307,                0.00307,                0.00307
                     72,                 1.1248,                0.96607,                 1.6863,                0.85008,                0.77378,                 0.8266,                0.55985,                 1.0704,                0.90536,                 1.5825,               0.002971,               0.002971,               0.002971
                     73,                 1.1317,                0.95936,                 1.6867,                 0.8553,                0.78801,                0.83417,                 0.5697,                 1.0682,                0.92872,                 1.5908,               0.002872,               0.002872,               0.002872
                     74,                 1.0953,                0.93322,                 1.6582,                0.81886,                0.81811,                 0.8387,                0.55473,                 1.0959,                0.93776,                 1.5906,               0.002773,               0.002773,               0.002773
                     75,                 1.1496,                0.99682,                 1.6913,                0.87044,                0.78413,                0.84363,                0.57189,                 1.0802,                0.90054,                 1.5935,               0.002674,               0.002674,               0.002674
                     76,                 1.1506,                0.96226,                 1.7082,                0.86842,                0.82288,                0.84309,                0.56651,                 1.0559,                0.88652,                 1.5659,               0.002575,               0.002575,               0.002575
                     77,                 1.1194,                 1.0399,                 1.6814,                0.88749,                0.75735,                0.84163,                0.56618,                 1.0612,                 0.8791,                 1.5692,               0.002476,               0.002476,               0.002476
